Player	Tm	PTS	Age	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF
Shake Milton	NYK	1.3	0.024667818505571704	-0.7096091847637908	-0.6590515666353798	-1.079745279031366	-1.0281813789752674	-0.8674995677851426	-2.203859022083121	-0.9570095906118199	-0.8851383379057589	-1.2497025986847954	-0.8799317071669045	-0.7011449750507704	-1.9901664192367867	-2.2465031024498057	-0.014747051069845878	-0.09005938917404124	0.6898284988053989	-0.9058885387044131	-1.0201193777589588	-1.0668406073862862	-0.6556605883142029	-0.4781312568366822	-0.8306405458221718	-1.0103980189142585	-1.3854163140471403
Josh Minott	MIN	1.2	-1.2950604715425196	-0.526429009203536	-0.6590515666353798	-1.2216177723111052	-0.8955727816567759	-0.8187994346513492	-1.0031602328500373	-0.5411719207825215	-0.6840559554091215	0.6719497410331484	-0.8799317071669045	-0.7456819369566372	-1.9901664192367867	-0.6573439477353648	-0.7220969834200426	-0.7816637892904812	-1.5966280824680386	-0.6874545699351235	-0.802379953421818	-0.8310590745056936	-0.6055314829554178	-1.0800141330899176	-0.8306405458221718	-1.0103980189142585	-1.0386571430458678
Donovan Mitchell	CLE	29.6	0.024667818505571704	0.38947186859773797	1.0609122779984161	1.3619550000462535	2.519098599294383	2.5415097515803966	0.3706122557319596	2.0578135156505932	2.2115303525424563	0.4509597219655847	2.2685827742971836	2.260562991689364	0.36585738810582163	0.33051174303307146	2.161714279238452	2.215288611214092	0.6404212737598743	-0.25058663239654466	0.9395354412753066	0.6509962750294602	1.4497618367547707	1.5281449973407693	-0.18030977701993486	1.9186319420602151	1.1285876757120854
Evan Mobley	CLE	16.0	-1.0751057565345044	0.7558322197182475	1.4049050469251754	1.1379458001308755	1.22616477543909	0.869471847320156	0.797887950999589	-0.5411719207825215	-0.4829735729124841	0.08584577741917561	1.6630992201694743	1.4588976773837636	0.5776833817935054	0.48322373387650086	0.4205452149918137	0.6015450109423987	0.30829492762051547	1.8245360709117053	1.8104931386238692	1.9646362439356193	0.24666330814392848	0.5250068702520436	3.9384517587275667	0.8725498131407604	1.041897882961767
Wendell Moore Jr.	MIN	1.2	-1.0751057565345044	-0.3432488336432812	-0.6590515666353798	-1.2664196122941809	-0.8624206323271529	-0.916199700918936	0.11641025981324371	-0.7490907556971707	-0.8047053849071039	-0.04866988636108058	-0.7588349963413626	-0.8124873798154372	0.8932608825935248	0.13962175447878414	-0.7220969834200426	-0.7816637892904812	-1.5966280824680386	-0.9058885387044131	-1.0201193777589588	-1.0668406073862862	-0.7559187990317731	-0.6787588822544273	-0.8306405458221718	-0.8011815931303675	-0.9519673502955496
Marcus Morris	CLE	6.1	1.564350823561678	0.20629169303748318	-0.4870551821720002	-0.3479818926411314	-0.23252979506431778	-0.2506312147570926	0.2732582998481963	0.08258458396142604	-0.04059233141988189	0.6287125633894947	-0.3148137233143759	-0.3003123178979703	0.25778290153047256	0.3877787395993577	-0.6132739169046277	-0.6433429092671932	0.234184090052229	-0.6874545699351235	-0.018518025808111842	-0.2247637042413126	-0.7559187990317731	-0.27750363141893697	-0.8306405458221718	-0.696573380238422	-0.6052081792942771
Markieff Morris	DAL	3.0	1.564350823561678	-1.2591497114445551	-0.6590515666353798	-0.5943920125480471	-0.6966598856790385	-0.299331347890886	-1.1221484011524148	0.08258458396142604	0.12027357457742797	0.35007297413039284	-0.8799317071669045	-0.478460165521437	-1.9901664192367867	-0.8148281882926519	-0.7220969834200426	-0.7816637892904812	-1.5966280824680386	-0.9058885387044131	0.5911523623358818	0.17943320926827483	-0.9063061151081284	-1.0800141330899176	-0.8306405458221718	0.03568411000519644	-0.5185183865439589
Monte Morris	MIN	2.3	0.2446225335135869	0.20629169303748318	-0.6590515666353798	-0.9378727857516266	-0.6966598856790385	-0.5752987689823821	-0.5812930906870618	-0.8530501731544954	-0.44275709641315664	-0.9086093083848603	-0.516641574690279	-0.5229971274273038	0.17132331227019326	-0.7336999431570798	-0.6132739169046277	-0.6894498692749559	1.1482177533944313	-0.7966715543197683	-0.8894757231566742	-0.9321083028830905	-0.40501506152027755	-0.6787588822544273	-0.6138636228880928	-1.0103980189142585	-0.7785877647949133
Trey Murphy III	NOP	11.5	-0.8551510415264891	-0.7096091847637908	0.02893397121813859	1.645699986605732	0.4636653408577633	0.8370050918976272	-0.17565160783804692	1.641975845821295	1.9300150170471642	0.35007297413039284	-0.07262030166329217	0.07825185830189656	-0.07076353765858848	0.03940451048778326	-0.7220969834200426	-0.7816637892904812	-1.5966280824680386	-0.03215266362725513	1.3750142899495879	1.0215101124132484	0.24666330814392848	1.5281449973407693	2.4210132981890133	1.0817662389246514	1.2152774684624035
Jamal Murray	DEN	20.6	-0.1952868965024435	0.7558322197182475	1.4049050469251754	1.384355920037791	1.7234470153834338	2.265542330488901	-0.029620674012401458	1.0182193410773472	1.3669843460565796	0.2635986188430853	1.7034647904446552	2.349636915501097	-0.09670141443667227	-0.10853523064178917	0.3661336817341062	0.23268933088029747	0.9368646240330213	-0.03215266362725513	0.41696082286616937	0.2804824376456716	1.9009237849838363	0.5250068702520436	0.25324406884822315	1.7094155162763245	0.6084489192101765
Svi Mykhailiuk	BOS	1.0	-0.1952868965024435	0.0231115174772284	-0.6590515666353798	-1.1917498789890548	-0.8955727816567759	-0.8674995677851426	-0.8517207459197383	-0.6451313382398463	-0.643839478909794	-0.1831855501413366	-0.8395661368917239	-0.8347558607683705	-0.550614258053138	-0.6573439477353648	-0.7220969834200426	-0.7816637892904812	-1.5966280824680386	-0.7966715543197683	-0.9330236080241024	-0.9657913790088893	-0.8561770097493433	-0.8793865076721725	-0.8306405458221718	-0.696573380238422	-1.0386571430458678
